Chargeback Date,Chargeback ID,Amount,Business Unit,Product,Reason Code,Status
2022-01-01,CB-1000008,311.12,Enterprise,Cloud Services,4871,Lost
2022-01-01,CB-1000022,512.06,Enterprise,Managed Support,4870,Pending
2022-01-01,CB-1000036,528.31,Enterprise,Managed Support,4863,Open
2022-01-01,CB-1000065,150.12,Consumer,Streaming Add-on,4855,Open
2022-01-01,CB-1000101,481.23,Wholesale,Bulk Voice,4837,Lost
2022-01-01,CB-1000106,159.09,Wholesale,Bulk Voice,4871,Lost
2022-01-01,CB-1000116,379.69,Wholesale,Partner Resale,4855,Won
2022-01-01,CB-1000133,194.01,Wholesale,IoT SIM,4863,Won
2022-01-02,CB-1000028,238.59,Enterprise,Managed Support,4855,Open
2022-01-02,CB-1000085,147.67,Consumer,Device Protection,4837,Lost
2022-01-02,CB-1000117,473.30,Wholesale,Partner Resale,4837,Open
2022-01-03,CB-1000004,387.38,Enterprise,Cloud Services,4871,Won
2022-01-03,CB-1000029,508.58,Enterprise,Managed Support,4871,Lost
2022-01-03,CB-1000037,407.85,Enterprise,Platform API,4871,Won
2022-01-03,CB-1000047,270.08,Enterprise,Platform API,4863,Lost
2022-01-03,CB-1000115,339.96,Wholesale,Partner Resale,4855,Pending
2022-01-03,CB-1000132,259.56,Wholesale,IoT SIM,4870,Lost
2022-01-04,CB-1000031,526.05,Enterprise,Managed Support,4855,Won
2022-01-04,CB-1000056,155.17,Consumer,Mobile Plans,7030,Won
2022-01-04,CB-1000096,186.83,Wholesale,Bulk Voice,4855,Lost
2022-01-04,CB-1000124,326.92,Wholesale,IoT SIM,4871,Lost
2022-01-04,CB-1000131,227.66,Wholesale,IoT SIM,4870,Lost
2022-01-05,CB-1000039,390.69,Enterprise,Platform API,7030,Lost
2022-01-05,CB-1000043,839.19,Enterprise,Platform API,4870,Pending
2022-01-05,CB-1000063,153.31,Consumer,Mobile Plans,7030,Lost
2022-01-05,CB-1000070,274.18,Consumer,Streaming Add-on,4863,Won
2022-01-06,CB-1000015,554.84,Enterprise,Cloud Services,4855,Won
2022-01-06,CB-1000023,513.85,Enterprise,Managed Support,4871,Pending
2022-01-06,CB-1000040,694.75,Enterprise,Platform API,7030,Pending
2022-01-06,CB-1000044,300.87,Enterprise,Platform API,4863,Open
2022-01-06,CB-1000057,120.36,Consumer,Mobile Plans,4837,Pending
2022-01-06,CB-1000079,160.38,Consumer,Device Protection,7030,Lost
2022-01-06,CB-1000108,407.77,Wholesale,Bulk Voice,4863,Won
2022-01-06,CB-1000121,551.04,Wholesale,Partner Resale,4870,Won
2022-01-07,CB-1000019,549.38,Enterprise,Cloud Services,4855,Lost
2022-01-07,CB-1000033,514.96,Enterprise,Managed Support,4871,Lost
2022-01-08,CB-1000026,638.20,Enterprise,Managed Support,4870,Pending
2022-01-09,CB-1000002,615.29,Enterprise,Cloud Services,4837,Won
2022-01-09,CB-1000134,488.52,Wholesale,IoT SIM,4837,Open
2022-01-10,CB-1000001,518.16,Enterprise,Cloud Services,4837,Lost
2022-01-10,CB-1000007,457.74,Enterprise,Cloud Services,4871,Won
2022-01-10,CB-1000042,268.83,Enterprise,Platform API,4871,Lost
2022-01-10,CB-1000049,214.22,Consumer,Mobile Plans,4855,Lost
2022-01-10,CB-1000107,414.76,Wholesale,Bulk Voice,4863,Won
2022-01-11,CB-1000009,371.10,Enterprise,Cloud Services,4855,Open
2022-01-11,CB-1000054,209.98,Consumer,Mobile Plans,4863,Won
2022-01-11,CB-1000090,628.38,Wholesale,Bulk Voice,7030,Lost
2022-01-11,CB-1000114,400.91,Wholesale,Partner Resale,4863,Lost
2022-01-12,CB-1000064,204.81,Consumer,Mobile Plans,4837,Pending
2022-01-12,CB-1000077,135.96,Consumer,Device Protection,4871,Lost
2022-01-13,CB-1000046,781.97,Enterprise,Platform API,4870,Lost
2022-01-13,CB-1000062,180.24,Consumer,Mobile Plans,4837,Won
2022-01-13,CB-1000069,192.61,Consumer,Streaming Add-on,4837,Open
2022-01-13,CB-1000080,187.64,Consumer,Device Protection,4870,Lost
2022-01-13,CB-1000095,260.57,Wholesale,Bulk Voice,4837,Open
